Code,Type,ENG Name,AZE  Name
AIBA,IF,Int. Boxing Assoc.,
BWF,IF,Badminton World Federation,
FEI,IF,Int. Equestrian Federation,
FIBA,IF,International Basketball Fed.,
FIE,IF,Fed. Int. d'Escrime,
FIFA,IF,Fed. Int. de Football Ass.,
FIG,IF,Int. Gymnastics Federation,
FIH,IF,Int. Hockey Federation,
FILA,IF,Int.Fed Ass. Wrestling Styles,
FINA,IF,Fed. Int. de Natation,
FISA,IF,Int. Rowing Federation,
WA,IF,World Archery Fed.,
FIVB,IF,Int. Volleyball Federation,
IAAF,IF,Int.Ass.of Athletic Fed.,
ICF,IF,International Canoe Federation,
IHF,IF,Int. Handball Federation,
IJF,IF,Int. Judo Federation,
ISAF,IF,Int. Sailing Federation,
ISSF,IF,Int. Shooting Sport Fed.,
ITF,IF,Int. Tennis Federation,
ITTF,IF,Int. Table Tennis Federation,
ITU,IF,Int. Triathlon Union,
IWF,IF,Int. Weightlifting Federation,
UCI,IF,International Cycling Union,
UIPM,IF,International Modern Pentathlon Union,
WTF,IF,The World Taekwondo Federation,
WAE,EF,World Archery Europe,
LEN,EF,Ligue Européenne de Natation,
BEC,EF,Badminton Europe Confederation,
FIBAE,EF,FIBA Europe,
FBSSL,EF,Beach Soccer Worldwide,
EUBC,EF,European Boxing Confederation,
ECA,EF,European Canoeing Association,
UEC,EF,European Cycling Union,
EFC,EF,European Fencing Confederation,
UEG,EF,The European Union of Gymnastics,
EJU,EF,European Judo Union,
EKF,EF,European Karate Federation,
ESC,EF,European Shooting Confederation,
ETTU,EF,European Table Tennis Union,
ETU,EF,European Taekwondo Union,
ETU,EF,European Triathlon Union,
CEV,EF,European Volleyball Confederation,
FILA,EF,Int.Fed Ass. Wrestling Styles,
