Discipline,Gender,ENG Name,AZE Name
AC,0,Global,Qlobal
AC,W,Women,Qadınlar
AC,X,Mixed,Qarışıq
AE,0,Global,Qlobal
AE,X,Mixed,Qarışıq
AR,0,Global,Qlobal
AR,M,Men,Kişilər
AR,W,Women,Qadınlar
AR,X,Mixed,Qarışıq
AT,0,Global,Qlobal
AT,M,Men,Kişilər
AT,W,Women,Qadınlar
B3,0,Global,Qlobal
B3,M,Men,Kişilər
B3,W,Women,Qadınlar
BD,0,Global,Qlobal
BD,M,Men,Kişilər
BD,W,Women,Qadınlar
BD,X,Mixed,Qarışıq
BF,0,Global,Qlobal
BF,M,Men,Kişilər
BK,0,Global,Qlobal
BK,M,Men,Kişilər
BK,W,Women,Qadınlar
BV,0,Global,Qlobal
BV,M,Men,Kişilər
BV,W,Women,Qadınlar
BX,0,Global,Qlobal
BX,M,Men,Kişilər
BX,W,Women,Qadınlar
CB,0,Global,Qlobal
CB,M,Men,Kişilər
CB,W,Women,Qadınlar
CE,0,Global,Qlobal
CF,0,Global,Qlobal
CF,M,Men,Kişilər
CF,W,Women,Qadınlar
CM,0,Global,Qlobal
CM,M,Men,Kişilər
CM,W,Women,Qadınlar
CR,0,Global,Qlobal
CR,M,Men,Kişilər
CR,W,Women,Qadınlar
DV,0,Global,Qlobal
DV,M,Men,Kişilər
DV,W,Women,Qadınlar
FE,0,Global,Qlobal
FE,M,Men,Kişilər
FE,W,Women,Qadınlar
GA,0,Global,Qlobal
GA,M,Men,Kişilər
GA,W,Women,Qadınlar
GL,0,Global,Qlobal
GR,0,Global,Qlobal
GR,W,Women,Qadınlar
GT,0,Global,Qlobal
GT,M,Men,Kişilər
GT,W,Women,Qadınlar
JU,0,Global,Qlobal
JU,M,Men,Kişilər
JU,W,Women,Qadınlar
KA,0,Global,Qlobal
KA,M,Men,Kişilər
KA,W,Women,Qadınlar
SC,0,Global,Qlobal
SC,M,Men,Kişilər
SC,W,Women,Qadınlar
SH,0,Global,Qlobal
SH,M,Men,Kişilər
SH,W,Women,Qadınlar
SH,X,Mixed,Qarışıq
SW,0,Global,Qlobal
SW,M,Men,Kişilər
SW,W,Women,Qadınlar
SW,X,Mixed,Qarışıq
SY,0,Global,Qlobal
SY,W,Women,Qadınlar
TK,0,Global,Qlobal
TK,M,Men,Kişilər
TK,W,Women,Qadınlar
TR,0,Global,Qlobal
TR,M,Men,Kişilər
TR,W,Women,Qadınlar
TT,0,Global,Qlobal
TT,M,Men,Kişilər
TT,W,Women,Qadınlar
UT,0,Global,Qlobal
VB,0,Global,Qlobal
VO,0,Global,Qlobal
VO,M,Men,Kişilər
VO,W,Women,Qadınlar
WP,0,Global,Qlobal
WP,M,Men,Kişilər
WP,W,Women,Qadınlar
WR,0,Global,Qlobal
WR,M,Men,Kişilər
WR,W,Women,Qadınlar
